#{"t_start": 1716476490.580547, "env_id": "None"}
r,l,t
-180.0,30,4.489995
10.0,30,4.595556
-190.0,30,4.595571
-90.0,30,4.595578
220.0,30,4.595583
10.0,30,4.595587
20.0,30,4.595592
10.0,30,4.595596
-200.0,30,4.5956
-290.0,30,4.700166
-180.0,30,4.700184
-380.0,30,4.70019
-380.0,30,4.700196
-80.0,30,4.7002
-180.0,30,4.700204
-190.0,30,4.700209
-190.0,30,4.700213
-190.0,30,4.805887
-190.0,30,4.805909
-90.0,30,4.805917
-400.0,30,4.805922
-90.0,30,4.805927
-390.0,30,4.805931
20.0,30,4.805935
-90.0,30,4.805939
120.0,30,4.91111
-390.0,30,4.911132
110.0,30,4.911139
-200.0,30,4.911143
120.0,30,4.911148
-190.0,30,4.911152
-590.0,30,4.91116
-190.0,30,4.911164
-390.0,30,5.015537
10.0,30,5.015554
110.0,30,5.01556
-400.0,30,5.015565
-190.0,30,5.015574
-190.0,30,5.015579
-200.0,30,5.015583
-390.0,30,5.015587
-190.0,30,5.121793
220.0,30,5.121808
10.0,30,5.121815
0.0,30,5.121819
10.0,30,5.121824
10.0,30,5.121828
-400.0,30,5.121832
-190.0,30,5.121836
-80.0,30,5.226858
-400.0,30,5.226875
-70.0,30,5.226881
-390.0,30,5.226886
20.0,30,5.22689
110.0,30,5.226894
110.0,30,5.226898
-390.0,30,5.226902
-200.0,30,5.329803
-290.0,30,5.329831
110.0,30,5.32984
10.0,30,5.329846
30.0,30,5.329852
-190.0,30,5.329858
-390.0,30,5.329863
-400.0,30,5.329868
-200.0,30,5.429619
-190.0,30,5.429651
10.0,30,5.42966
120.0,30,5.429667
-90.0,30,5.429673
-200.0,30,5.429678
-200.0,30,5.429683
-390.0,30,5.429688
-590.0,30,5.534108
20.0,30,5.534131
-390.0,30,5.534138
-200.0,30,5.534148
0.0,30,5.534154
10.0,30,5.534159
-170.0,30,5.534164
-390.0,30,5.534169
-80.0,30,5.658309
-390.0,30,5.65835
-380.0,30,5.65836
-200.0,30,5.658367
-190.0,30,5.658374
-200.0,30,5.65838
-400.0,30,5.658385
0.0,30,5.658391
-200.0,30,5.792558
10.0,30,5.792615
-100.0,30,5.792625
-190.0,30,5.792632
-190.0,30,5.792638
-190.0,30,5.792643
10.0,30,5.792648
120.0,30,5.792653
-190.0,30,5.91753
10.0,30,5.917587
-200.0,30,5.917601
-100.0,30,5.917607
-290.0,30,5.917613
10.0,30,5.917618
-400.0,30,5.917623
10.0,30,5.917628
-590.0,30,6.034192
-400.0,30,6.034221
-170.0,30,6.034229
-190.0,30,6.034235
-200.0,30,6.03424
-190.0,30,6.034245
-390.0,30,6.03425
10.0,30,6.034255
-390.0,30,6.144259
-190.0,30,6.144301
-200.0,30,6.144311
-190.0,30,6.144317
20.0,30,6.144322
-400.0,30,6.144332
-390.0,30,6.144338
-380.0,30,6.144343
-380.0,30,6.254769
-400.0,30,6.254801
-90.0,30,6.254809
-200.0,30,6.254815
10.0,30,6.254821
30.0,30,6.254826
-400.0,30,6.254831
230.0,30,6.254836
-390.0,30,6.360603
-380.0,30,6.360624
-90.0,30,6.360632
-190.0,30,6.360637
-190.0,30,6.360642
-390.0,30,6.360647
-390.0,30,6.360652
20.0,30,6.360657
-190.0,30,6.469755
-400.0,30,6.469795
-390.0,30,6.469805
10.0,30,6.469813
10.0,30,6.469819
110.0,30,6.469824
20.0,30,6.469829
-190.0,30,6.469834
10.0,30,6.579724
-400.0,30,6.57977
110.0,30,6.579783
10.0,30,6.579789
-400.0,30,6.579795
230.0,30,6.5798
-190.0,30,6.579805
-370.0,30,6.57981
20.0,30,6.684958
-90.0,30,6.684987
-390.0,30,6.684995
-190.0,30,6.685
10.0,30,6.685004
-190.0,30,6.685009
-90.0,30,6.685013
10.0,30,6.685017
0.0,30,6.790338
-190.0,30,6.790357
-390.0,30,6.790364
-80.0,30,6.790369
-400.0,30,6.790373
-90.0,30,6.790381
-200.0,30,6.790386
10.0,30,6.79039
-380.0,30,6.895725
-180.0,30,6.895746
20.0,30,6.895753
-380.0,30,6.895757
-390.0,30,6.895762
-90.0,30,6.895766
-180.0,30,6.89577
-190.0,30,6.895774
-190.0,30,7.002372
130.0,30,7.002389
-190.0,30,7.002396
-180.0,30,7.0024
-190.0,30,7.002405
20.0,30,7.002409
-200.0,30,7.002413
-100.0,30,7.002417
20.0,30,7.109034
110.0,30,7.109049
110.0,30,7.109055
-390.0,30,7.10906
-380.0,30,7.109064
20.0,30,7.109068
-400.0,30,7.109072
20.0,30,7.109077
-400.0,30,7.214904
110.0,30,7.214923
-100.0,30,7.214929
-190.0,30,7.214934
-80.0,30,7.214938
-100.0,30,7.214942
20.0,30,7.214946
-390.0,30,7.214951
120.0,30,7.321105
20.0,30,7.321123
20.0,30,7.321129
-290.0,30,7.321134
-170.0,30,7.321138
-190.0,30,7.321143
-180.0,30,7.321146
-180.0,30,7.32115
0.0,30,7.427425
-190.0,30,7.427443
10.0,30,7.427449
-200.0,30,7.427454
-190.0,30,7.427459
-390.0,30,7.427463
