#{"t_start": 1716476490.580547, "env_id": "None"}
r,l,t
0.0,30,595.509535
0.0,30,595.509544
0.0,30,595.50955
0.0,30,595.509559
0.0,30,595.509563
0.0,30,595.509568
0.0,30,595.609655
0.0,30,595.609696
0.0,30,595.609703
0.0,30,595.609709
0.0,30,595.609714
0.0,30,595.609718
0.0,30,595.609724
0.0,30,595.609728
0.0,30,595.709142
0.0,30,595.70919
0.0,30,595.709202
0.0,30,595.709208
0.0,30,595.709213
0.0,30,595.709217
0.0,30,595.709221
0.0,30,595.709226
0.0,30,595.807316
0.0,30,595.807359
0.0,30,595.807368
0.0,30,595.807373
0.0,30,595.807378
0.0,30,595.807382
0.0,30,595.807387
0.0,30,595.807391
0.0,30,595.906101
0.0,30,595.906148
0.0,30,595.906156
0.0,30,595.906165
0.0,30,595.90617
0.0,30,595.906175
0.0,30,595.906179
0.0,30,595.906184
0.0,30,596.006207
0.0,30,596.006261
0.0,30,596.006269
0.0,30,596.006275
0.0,30,596.00628
0.0,30,596.006284
0.0,30,596.006288
0.0,30,596.006292
0.0,30,596.09793
0.0,30,596.097977
0.0,30,596.097985
0.0,30,596.09799
0.0,30,596.097995
0.0,30,596.097999
0.0,30,596.098003
0.0,30,596.098007
0.0,30,596.183495
0.0,30,596.183539
0.0,30,596.183548
0.0,30,596.183553
0.0,30,596.183558
0.0,30,596.183562
0.0,30,596.183567
0.0,30,596.183571
0.0,30,596.274986
0.0,30,596.275046
0.0,30,596.275057
0.0,30,596.275062
0.0,30,596.275067
0.0,30,596.275071
0.0,30,596.275075
0.0,30,596.275079
0.0,30,596.36304
0.0,30,596.363123
0.0,30,596.363145
0.0,30,596.363155
0.0,30,596.363166
0.0,30,596.363172
0.0,30,596.363178
0.0,30,596.363182
0.0,30,596.453062
0.0,30,596.453109
0.0,30,596.453117
0.0,30,596.453122
0.0,30,596.453127
0.0,30,596.453131
0.0,30,596.453136
0.0,30,596.453139
0.0,30,596.542055
0.0,30,596.542104
0.0,30,596.542112
0.0,30,596.542118
0.0,30,596.542123
0.0,30,596.542127
0.0,30,596.542132
0.0,30,596.542136
0.0,30,596.632185
0.0,30,596.63223
0.0,30,596.632239
0.0,30,596.632245
0.0,30,596.632253
0.0,30,596.632258
0.0,30,596.632262
0.0,30,596.632266
0.0,30,596.718104
0.0,30,596.718162
0.0,30,596.718171
0.0,30,596.718176
0.0,30,596.718181
0.0,30,596.718185
0.0,30,596.718189
0.0,30,596.718194
0.0,30,596.803496
0.0,30,596.803554
0.0,30,596.803565
0.0,30,596.803571
0.0,30,596.803582
0.0,30,596.803587
0.0,30,596.803592
0.0,30,596.803596
0.0,30,596.889356
0.0,30,596.889411
0.0,30,596.88942
0.0,30,596.889425
0.0,30,596.889431
0.0,30,596.889435
0.0,30,596.889439
0.0,30,596.889443
0.0,30,596.977347
0.0,30,596.977394
0.0,30,596.977402
0.0,30,596.977407
0.0,30,596.977412
0.0,30,596.977417
0.0,30,596.977421
0.0,30,596.977425
0.0,30,597.064733
0.0,30,597.06479
0.0,30,597.064799
0.0,30,597.064805
0.0,30,597.06481
0.0,30,597.064814
0.0,30,597.064819
0.0,30,597.064823
0.0,30,597.151311
0.0,30,597.151362
0.0,30,597.15137
0.0,30,597.151375
0.0,30,597.15138
0.0,30,597.151384
0.0,30,597.151389
0.0,30,597.151393
0.0,30,597.239571
0.0,30,597.239625
0.0,30,597.239633
0.0,30,597.239638
0.0,30,597.239643
0.0,30,597.239648
0.0,30,597.239652
0.0,30,597.239656
0.0,30,597.325263
0.0,30,597.325309
0.0,30,597.325317
0.0,30,597.325323
0.0,30,597.325328
0.0,30,597.325332
0.0,30,597.325336
0.0,30,597.32534
0.0,30,597.414473
0.0,30,597.414533
0.0,30,597.414541
0.0,30,597.414547
0.0,30,597.414551
0.0,30,597.414556
0.0,30,597.41456
0.0,30,597.414564
0.0,30,597.501744
0.0,30,597.501788
0.0,30,597.501796
0.0,30,597.501801
0.0,30,597.501806
0.0,30,597.501811
0.0,30,597.501815
0.0,30,597.501819
0.0,30,597.587962
0.0,30,597.588017
0.0,30,597.588026
0.0,30,597.588031
0.0,30,597.588036
0.0,30,597.58804
0.0,30,597.588044
0.0,30,597.588048
0.0,30,597.6757
0.0,30,597.675747
0.0,30,597.675758
0.0,30,597.675763
0.0,30,597.675768
0.0,30,597.675772
0.0,30,597.675776
0.0,30,597.67578
0.0,30,597.761434
0.0,30,597.761486
0.0,30,597.761494
0.0,30,597.761499
0.0,30,597.761504
0.0,30,597.761508
0.0,30,597.761512
0.0,30,597.761516
0.0,30,597.849171
0.0,30,597.849223
0.0,30,597.84923
0.0,30,597.849239
0.0,30,597.849244
0.0,30,597.849248
0.0,30,597.84926
0.0,30,597.849264
0.0,30,597.939449
0.0,30,597.939491
0.0,30,597.939499
0.0,30,597.939505
0.0,30,597.93951
0.0,30,597.939515
0.0,30,597.939519
0.0,30,597.939523
0.0,30,598.040987
0.0,30,598.04103
0.0,30,598.041039
0.0,30,598.041044
0.0,30,598.041049
0.0,30,598.041054
0.0,30,598.041058
0.0,30,598.041063
0.0,30,598.136415
0.0,30,598.13646
0.0,30,598.136469
0.0,30,598.136474
0.0,30,598.136479
0.0,30,598.136483
0.0,30,598.136488
0.0,30,598.136492
0.0,30,598.237141
0.0,30,598.237186
0.0,30,598.237195
0.0,30,598.237201
0.0,30,598.237205
0.0,30,598.23721
0.0,30,598.237214
0.0,30,598.237219
0.0,30,598.336024
0.0,30,598.33616
0.0,30,598.336187
0.0,30,598.336197
0.0,30,598.336205
0.0,30,598.336212
0.0,30,598.336218
0.0,30,598.336223
0.0,30,598.435604
0.0,30,598.435663
0.0,30,598.435673
0.0,30,598.43568
0.0,30,598.435689
0.0,30,598.435695
0.0,30,598.4357
0.0,30,598.435705
0.0,30,598.535773
0.0,30,598.535831
0.0,30,598.535846
0.0,30,598.535853
0.0,30,598.535858
0.0,30,598.535864
0.0,30,598.535869
0.0,30,598.535874
0.0,30,598.625288
0.0,30,598.625338
0.0,30,598.625348
0.0,30,598.625354
0.0,30,598.625361
0.0,30,598.625366
0.0,30,598.625371
0.0,30,598.625376
0.0,30,598.716923
0.0,30,598.716974
0.0,30,598.716983
0.0,30,598.71699
0.0,30,598.716996
0.0,30,598.717002
0.0,30,598.717007
0.0,30,598.717013
0.0,30,598.802221
0.0,30,598.802265
0.0,30,598.802274
0.0,30,598.802281
0.0,30,598.802286
0.0,30,598.802292
0.0,30,598.802298
0.0,30,598.802305
0.0,30,598.887425
0.0,30,598.887478
0.0,30,598.887491
0.0,30,598.887498
0.0,30,598.887503
0.0,30,598.887509
0.0,30,598.887516
0.0,30,598.887525
0.0,30,598.974195
0.0,30,598.974256
0.0,30,598.974265
0.0,30,598.974275
0.0,30,598.974281
0.0,30,598.974286
0.0,30,598.974291
0.0,30,598.974296
0.0,30,599.060618
0.0,30,599.06068
0.0,30,599.060693
0.0,30,599.060701
0.0,30,599.060707
0.0,30,599.060713
0.0,30,599.060718
0.0,30,599.060724
0.0,30,599.148232
0.0,30,599.148272
0.0,30,599.148281
0.0,30,599.148287
0.0,30,599.148293
0.0,30,599.148298
0.0,30,599.148303
0.0,30,599.148308
0.0,30,599.233748
0.0,30,599.233811
0.0,30,599.233821
0.0,30,599.233827
0.0,30,599.233833
0.0,30,599.233838
0.0,30,599.233844
0.0,30,599.233849
0.0,30,599.322993
0.0,30,599.323046
0.0,30,599.323055
0.0,30,599.323061
0.0,30,599.323067
0.0,30,599.323073
0.0,30,599.323078
0.0,30,599.323083
0.0,30,599.40784
0.0,30,599.407902
0.0,30,599.407913
0.0,30,599.40792
0.0,30,599.407926
0.0,30,599.407931
0.0,30,599.407936
0.0,30,599.407941
0.0,30,599.495422
0.0,30,599.495472
0.0,30,599.495482
0.0,30,599.495489
0.0,30,599.495495
0.0,30,599.4955
0.0,30,599.495505
0.0,30,599.49551
0.0,30,599.58201
0.0,30,599.58207
0.0,30,599.582079
0.0,30,599.582086
0.0,30,599.582093
0.0,30,599.5821
0.0,30,599.582107
0.0,30,599.582113
0.0,30,599.667025
0.0,30,599.667086
0.0,30,599.667098
0.0,30,599.667106
0.0,30,599.667112
0.0,30,599.667118
0.0,30,599.667123
0.0,30,599.667131
0.0,30,599.753997
0.0,30,599.75406
0.0,30,599.754074
0.0,30,599.75408
0.0,30,599.754087
0.0,30,599.754092
0.0,30,599.754098
0.0,30,599.754102
0.0,30,599.840133
0.0,30,599.840191
0.0,30,599.840201
0.0,30,599.840207
0.0,30,599.840213
0.0,30,599.840219
0.0,30,599.840224
0.0,30,599.840229
0.0,30,599.923731
0.0,30,599.923782
0.0,30,599.923792
0.0,30,599.923798
0.0,30,599.923804
0.0,30,599.923809
0.0,30,599.923815
0.0,30,599.92382
0.0,30,600.008829
0.0,30,600.00888
0.0,30,600.008889
0.0,30,600.008895
0.0,30,600.008901
0.0,30,600.008906
0.0,30,600.008911
0.0,30,600.008916
0.0,30,600.09254
0.0,30,600.092592
0.0,30,600.092601
0.0,30,600.092607
0.0,30,600.092613
0.0,30,600.092618
0.0,30,600.092623
0.0,30,600.092628
0.0,30,600.181988
0.0,30,600.182043
0.0,30,600.182052
0.0,30,600.182059
0.0,30,600.182064
0.0,30,600.182069
0.0,30,600.182074
0.0,30,600.182079
0.0,30,600.268399
0.0,30,600.268452
0.0,30,600.268462
0.0,30,600.268469
0.0,30,600.268475
0.0,30,600.26848
0.0,30,600.268485
0.0,30,600.26849
0.0,30,600.357584
0.0,30,600.357632
0.0,30,600.357642
0.0,30,600.357649
0.0,30,600.357655
0.0,30,600.357661
0.0,30,600.357666
0.0,30,600.357671
0.0,30,600.465147
0.0,30,600.465196
0.0,30,600.465207
0.0,30,600.465213
0.0,30,600.46522
0.0,30,600.465225
0.0,30,600.465231
0.0,30,600.465236
0.0,30,600.565211
0.0,30,600.565262
0.0,30,600.565273
0.0,30,600.565279
0.0,30,600.565285
0.0,30,600.565299
0.0,30,600.565306
0.0,30,600.565313
0.0,30,600.661958
0.0,30,600.662008
0.0,30,600.662018
0.0,30,600.662024
0.0,30,600.66203
0.0,30,600.662035
0.0,30,600.66204
0.0,30,600.662045
0.0,30,600.760427
0.0,30,600.760462
0.0,30,600.760471
0.0,30,600.760477
0.0,30,600.760482
0.0,30,600.760487
0.0,30,600.760492
0.0,30,600.760497
0.0,30,600.866716
0.0,30,600.866777
0.0,30,600.866789
0.0,30,600.866798
0.0,30,600.866805
0.0,30,600.866815
0.0,30,600.866822
0.0,30,600.866828
0.0,30,600.958288
0.0,30,600.95834
0.0,30,600.958356
0.0,30,600.958363
0.0,30,600.958371
0.0,30,600.958377
0.0,30,600.958384
0.0,30,600.958398
0.0,30,601.046839
0.0,30,601.04689
0.0,30,601.046899
0.0,30,601.046905
0.0,30,601.046911
0.0,30,601.046916
0.0,30,601.046921
0.0,30,601.046926
0.0,30,601.133848
0.0,30,601.133904
0.0,30,601.133914
0.0,30,601.133921
0.0,30,601.133927
0.0,30,601.133932
0.0,30,601.133938
0.0,30,601.133943
0.0,30,601.219897
0.0,30,601.219949
0.0,30,601.21996
0.0,30,601.21997
0.0,30,601.21998
0.0,30,601.219985
0.0,30,601.21999
0.0,30,601.219995
0.0,30,601.303289
0.0,30,601.303343
0.0,30,601.303352
0.0,30,601.303358
0.0,30,601.303367
0.0,30,601.303373
0.0,30,601.303378
0.0,30,601.303382
0.0,30,601.387624
0.0,30,601.387681
0.0,30,601.387694
0.0,30,601.3877
0.0,30,601.387706
0.0,30,601.387711
0.0,30,601.387728
0.0,30,601.387733
0.0,30,601.477045
0.0,30,601.477118
0.0,30,601.477128
0.0,30,601.477135
0.0,30,601.477141
0.0,30,601.477147
0.0,30,601.477152
0.0,30,601.477157
0.0,30,601.563401
0.0,30,601.563454
0.0,30,601.563464
0.0,30,601.56347
0.0,30,601.563476
0.0,30,601.563481
0.0,30,601.563486
0.0,30,601.563491
0.0,30,601.65201
0.0,30,601.652072
0.0,30,601.652083
0.0,30,601.65209
0.0,30,601.652097
0.0,30,601.652103
0.0,30,601.652112
0.0,30,601.652117
0.0,30,601.740401
0.0,30,601.740456
0.0,30,601.740465
0.0,30,601.740472
0.0,30,601.740477
0.0,30,601.740483
0.0,30,601.740488
0.0,30,601.740493
0.0,30,601.825927
0.0,30,601.825977
0.0,30,601.825986
0.0,30,601.825993
0.0,30,601.825999
0.0,30,601.826004
0.0,30,601.826009
0.0,30,601.826014
0.0,30,601.911157
0.0,30,601.911208
0.0,30,601.911217
0.0,30,601.911228
0.0,30,601.911234
0.0,30,601.911239
0.0,30,601.911244
0.0,30,601.911249
0.0,30,602.00212
0.0,30,602.002184
0.0,30,602.002194
0.0,30,602.0022
0.0,30,602.00221
0.0,30,602.002216
0.0,30,602.002221
0.0,30,602.002227
0.0,30,602.084903
0.0,30,602.084951
0.0,30,602.08496
0.0,30,602.084966
0.0,30,602.084972
0.0,30,602.084977
0.0,30,602.084982
0.0,30,602.084987
0.0,30,602.172928
0.0,30,602.172984
0.0,30,602.172998
0.0,30,602.173008
0.0,30,602.173013
0.0,30,602.173019
0.0,30,602.173024
0.0,30,602.173028
0.0,30,602.261563
0.0,30,602.261615
0.0,30,602.261624
0.0,30,602.261631
0.0,30,602.261637
0.0,30,602.261642
0.0,30,602.261647
0.0,30,602.261652
0.0,30,602.34789
0.0,30,602.347948
0.0,30,602.347961
0.0,30,602.34797
0.0,30,602.347977
0.0,30,602.347984
0.0,30,602.347991
0.0,30,602.347997
0.0,30,602.436036
0.0,30,602.436093
0.0,30,602.436106
0.0,30,602.436113
0.0,30,602.436119
0.0,30,602.436125
0.0,30,602.43613
0.0,30,602.436135
0.0,30,602.520864
0.0,30,602.520925
0.0,30,602.520938
0.0,30,602.520944
0.0,30,602.52095
0.0,30,602.520956
0.0,30,602.520962
0.0,30,602.520969
0.0,30,602.60828
0.0,30,602.608333
0.0,30,602.608349
0.0,30,602.608356
0.0,30,602.608363
0.0,30,602.608368
0.0,30,602.608373
0.0,30,602.608378
0.0,30,602.694721
0.0,30,602.6948
0.0,30,602.694812
0.0,30,602.694819
0.0,30,602.694828
0.0,30,602.694835
0.0,30,602.69484
0.0,30,602.694846
0.0,30,602.791709
0.0,30,602.791765
0.0,30,602.791777
0.0,30,602.791784
0.0,30,602.791792
0.0,30,602.7918
0.0,30,602.791805
0.0,30,602.791811
0.0,30,602.894133
0.0,30,602.894181
0.0,30,602.89419
0.0,30,602.894197
0.0,30,602.894203
0.0,30,602.894209
0.0,30,602.894214
0.0,30,602.894219
0.0,30,602.99279
0.0,30,602.992845
0.0,30,602.992855
0.0,30,602.992862
0.0,30,602.992869
0.0,30,602.992875
0.0,30,602.992882
0.0,30,602.992888
0.0,30,603.091816
0.0,30,603.091865
0.0,30,603.091878
0.0,30,603.091884
0.0,30,603.09189
0.0,30,603.091896
0.0,30,603.091901
0.0,30,603.091906
0.0,30,603.190802
0.0,30,603.190856
0.0,30,603.190866
0.0,30,603.190873
0.0,30,603.190878
0.0,30,603.190884
0.0,30,603.190889
0.0,30,603.190894
0.0,30,603.291449
0.0,30,603.291507
0.0,30,603.291521
0.0,30,603.291531
0.0,30,603.291541
0.0,30,603.291546
0.0,30,603.291551
0.0,30,603.291556
0.0,30,603.377177
0.0,30,603.377232
0.0,30,603.377241
0.0,30,603.377247
0.0,30,603.377252
0.0,30,603.377261
0.0,30,603.377266
0.0,30,603.377271
0.0,30,603.463042
0.0,30,603.463101
0.0,30,603.463111
0.0,30,603.463118
0.0,30,603.463151
0.0,30,603.463167
0.0,30,603.463176
0.0,30,603.463183
0.0,30,603.554364
0.0,30,603.554414
0.0,30,603.554424
0.0,30,603.55443
0.0,30,603.554435
0.0,30,603.554441
0.0,30,603.554446
0.0,30,603.55445
0.0,30,603.639524
0.0,30,603.639583
0.0,30,603.639597
0.0,30,603.639603
0.0,30,603.639609
0.0,30,603.639615
0.0,30,603.63962
0.0,30,603.639626
0.0,30,603.727212
0.0,30,603.72727
0.0,30,603.72728
0.0,30,603.727286
0.0,30,603.727292
0.0,30,603.727298
0.0,30,603.727303
0.0,30,603.727309
0.0,30,603.813674
0.0,30,603.813729
0.0,30,603.813743
0.0,30,603.813749
0.0,30,603.813755
0.0,30,603.81376
0.0,30,603.813766
0.0,30,603.813777
0.0,30,603.897606
0.0,30,603.897657
0.0,30,603.897667
0.0,30,603.897673
0.0,30,603.897679
0.0,30,603.897684
0.0,30,603.897689
0.0,30,603.897694
0.0,30,603.983208
0.0,30,603.98326
0.0,30,603.983269
0.0,30,603.983275
0.0,30,603.983281
0.0,30,603.983286
0.0,30,603.983291
0.0,30,603.983296
0.0,30,604.067988
0.0,30,604.068041
0.0,30,604.06805
0.0,30,604.068067
0.0,30,604.068073
0.0,30,604.068078
0.0,30,604.068083
0.0,30,604.068088
0.0,30,626.950597
0.0,30,626.950868
10.0,30,626.950899
0.0,30,626.95091
-100.0,30,626.950918
110.0,30,626.950924
0.0,30,626.95093
0.0,30,626.950936
0.0,30,627.11897
120.0,30,627.119014
110.0,30,627.119024
0.0,30,627.119033
0.0,30,627.11904
0.0,30,627.119046
0.0,30,627.119052
0.0,30,627.119057
10.0,30,627.290933
220.0,30,627.290981
0.0,30,627.290995
0.0,30,627.291001
0.0,30,627.291007
10.0,30,627.291012
0.0,30,627.291018
10.0,30,627.291023
0.0,30,627.456233
110.0,30,627.456288
-80.0,30,627.456298
0.0,30,627.456304
10.0,30,627.45631
0.0,30,627.456315
0.0,30,627.456321
110.0,30,627.456325
0.0,30,627.624058
0.0,30,627.62411
10.0,30,627.624121
0.0,30,627.624129
0.0,30,627.624135
0.0,30,627.624141
0.0,30,627.624146
110.0,30,627.624152
220.0,30,627.773853
0.0,30,627.773911
0.0,30,627.773921
0.0,30,627.773927
120.0,30,627.773932
0.0,30,627.773938
0.0,30,627.773943
0.0,30,627.773947
10.0,30,627.928555
20.0,30,627.928617
110.0,30,627.928634
0.0,30,627.928642
0.0,30,627.928648
0.0,30,627.928654
0.0,30,627.928659
0.0,30,627.928665
120.0,30,628.082701
0.0,30,628.08276
0.0,30,628.082771
-200.0,30,628.082777
0.0,30,628.082784
0.0,30,628.082789
0.0,30,628.082795
0.0,30,628.0828
220.0,30,628.239689
0.0,30,628.23974
10.0,30,628.239749
0.0,30,628.239756
0.0,30,628.239762
0.0,30,628.239767
220.0,30,628.239772
0.0,30,628.239777
0.0,30,628.386983
0.0,30,628.387039
20.0,30,628.38705
0.0,30,628.387057
0.0,30,628.387063
0.0,30,628.387069
0.0,30,628.387074
20.0,30,628.387079
0.0,30,628.543513
110.0,30,628.543564
0.0,30,628.543574
-400.0,30,628.543581
10.0,30,628.543588
220.0,30,628.543595
110.0,30,628.543601
-190.0,30,628.543606
-100.0,30,628.692928
10.0,30,628.692976
0.0,30,628.692988
110.0,30,628.692995
120.0,30,628.693001
0.0,30,628.693006
10.0,30,628.693011
0.0,30,628.693017
-300.0,30,628.83984
10.0,30,628.839906
0.0,30,628.839915
110.0,30,628.839922
0.0,30,628.839928
0.0,30,628.839933
0.0,30,628.839938
-200.0,30,628.839942
0.0,30,628.990215
-100.0,30,628.990271
0.0,30,628.990285
110.0,30,628.990291
0.0,30,628.990297
330.0,30,628.990302
0.0,30,628.990312
110.0,30,628.990317
0.0,30,629.136957
10.0,30,629.137024
0.0,30,629.137034
0.0,30,629.13704
0.0,30,629.137049
0.0,30,629.137054
0.0,30,629.137059
0.0,30,629.137064
0.0,30,629.284258
0.0,30,629.284318
0.0,30,629.284332
110.0,30,629.284338
-190.0,30,629.284345
0.0,30,629.28435
0.0,30,629.284356
110.0,30,629.284361
220.0,30,629.445391
0.0,30,629.445445
10.0,30,629.445457
-100.0,30,629.445465
0.0,30,629.445472
0.0,30,629.445479
110.0,30,629.445485
0.0,30,629.445491
0.0,30,629.624105
0.0,30,629.624153
0.0,30,629.624163
30.0,30,629.62417
110.0,30,629.624176
10.0,30,629.624182
0.0,30,629.624188
0.0,30,629.624194
10.0,30,629.793052
10.0,30,629.793106
110.0,30,629.793116
0.0,30,629.793123
-90.0,30,629.793129
-190.0,30,629.793135
110.0,30,629.79314
0.0,30,629.793146
10.0,30,629.971094
0.0,30,629.971156
0.0,30,629.97117
0.0,30,629.971176
0.0,30,629.971182
0.0,30,629.971187
0.0,30,629.971192
0.0,30,629.971197
110.0,30,630.137053
0.0,30,630.13711
10.0,30,630.13712
0.0,30,630.137126
10.0,30,630.137132
110.0,30,630.137139
-90.0,30,630.137145
110.0,30,630.137151
20.0,30,630.305042
10.0,30,630.305096
110.0,30,630.305106
110.0,30,630.305113
0.0,30,630.305118
110.0,30,630.305123
10.0,30,630.305128
-200.0,30,630.305133
0.0,30,630.463416
0.0,30,630.463468
0.0,30,630.463478
0.0,30,630.463485
110.0,30,630.463491
0.0,30,630.463497
0.0,30,630.463503
110.0,30,630.463508
0.0,30,630.622631
-100.0,30,630.622695
10.0,30,630.622705
0.0,30,630.622711
0.0,30,630.622717
10.0,30,630.622722
0.0,30,630.622728
0.0,30,630.622733
-100.0,30,630.780829
0.0,30,630.780889
0.0,30,630.780903
110.0,30,630.78091
10.0,30,630.780916
0.0,30,630.780922
0.0,30,630.780935
110.0,30,630.78094
0.0,30,630.938709
-100.0,30,630.938762
0.0,30,630.938773
0.0,30,630.938779
110.0,30,630.938789
0.0,30,630.938794
0.0,30,630.938799
0.0,30,630.938804
110.0,30,631.098856
110.0,30,631.098912
0.0,30,631.098922
0.0,30,631.098929
0.0,30,631.098934
0.0,30,631.09894
220.0,30,631.098945
0.0,30,631.09895
-190.0,30,631.25437
10.0,30,631.254426
0.0,30,631.254439
10.0,30,631.254446
-190.0,30,631.254452
0.0,30,631.254458
20.0,30,631.254463
0.0,30,631.254469
0.0,30,631.414897
0.0,30,631.414952
110.0,30,631.414961
0.0,30,631.414969
0.0,30,631.414975
0.0,30,631.41498
0.0,30,631.414989
0.0,30,631.414995
120.0,30,631.57928
0.0,30,631.57934
0.0,30,631.57935
0.0,30,631.579357
-190.0,30,631.579363
-100.0,30,631.579369
0.0,30,631.579374
0.0,30,631.579379
10.0,30,631.738641
0.0,30,631.738708
-100.0,30,631.73872
0.0,30,631.738727
0.0,30,631.738733
110.0,30,631.738739
0.0,30,631.738744
0.0,30,631.738749
0.0,30,631.908271
110.0,30,631.908328
0.0,30,631.908342
0.0,30,631.90835
0.0,30,631.908356
0.0,30,631.908362
0.0,30,631.908368
0.0,30,631.908373
110.0,30,632.087744
0.0,30,632.087805
110.0,30,632.08782
10.0,30,632.087827
0.0,30,632.087833
0.0,30,632.087839
-100.0,30,632.087845
0.0,30,632.08785
0.0,30,632.261373
0.0,30,632.261429
0.0,30,632.261438
220.0,30,632.261445
0.0,30,632.261454
220.0,30,632.26146
10.0,30,632.261465
0.0,30,632.26147
-100.0,30,632.434927
0.0,30,632.43498
0.0,30,632.434989
110.0,30,632.434995
0.0,30,632.435001
0.0,30,632.435006
0.0,30,632.435011
0.0,30,632.435016
-100.0,30,632.59219
0.0,30,632.592253
0.0,30,632.592262
110.0,30,632.592273
0.0,30,632.592282
0.0,30,632.592287
0.0,30,632.592292
0.0,30,632.592297
0.0,30,632.749579
110.0,30,632.749638
110.0,30,632.749648
0.0,30,632.749655
0.0,30,632.749661
0.0,30,632.749666
0.0,30,632.749672
0.0,30,632.749677
10.0,30,632.911776
0.0,30,632.911833
0.0,30,632.911847
0.0,30,632.911854
0.0,30,632.91186
110.0,30,632.911865
0.0,30,632.911871
10.0,30,632.911876
0.0,30,633.068338
0.0,30,633.068384
0.0,30,633.068394
0.0,30,633.068401
110.0,30,633.068408
0.0,30,633.068415
0.0,30,633.068421
110.0,30,633.068428
110.0,30,633.229412
0.0,30,633.229565
-100.0,30,633.229588
0.0,30,633.229598
110.0,30,633.229604
0.0,30,633.22961
110.0,30,633.229616
0.0,30,633.229621
-200.0,30,633.391069
110.0,30,633.391126
-100.0,30,633.39114
-100.0,30,633.391146
-200.0,30,633.391152
110.0,30,633.391157
0.0,30,633.391166
0.0,30,633.391171
0.0,30,633.550204
0.0,30,633.550257
0.0,30,633.550266
0.0,30,633.550273
0.0,30,633.55028
-200.0,30,633.550288
110.0,30,633.550298
0.0,30,633.550303
110.0,30,633.71006
110.0,30,633.710119
10.0,30,633.710131
-100.0,30,633.710142
0.0,30,633.710148
0.0,30,633.710154
110.0,30,633.71016
-200.0,30,633.710165
10.0,30,633.873083
0.0,30,633.873148
0.0,30,633.873158
-100.0,30,633.873164
0.0,30,633.87317
0.0,30,633.873175
0.0,30,633.87318
0.0,30,633.873185
0.0,30,634.034861
0.0,30,634.034929
0.0,30,634.034938
0.0,30,634.034944
0.0,30,634.03495
110.0,30,634.034956
0.0,30,634.034962
110.0,30,634.034967
0.0,30,634.191332
-200.0,30,634.191392
0.0,30,634.191406
0.0,30,634.191412
0.0,30,634.191418
-100.0,30,634.191423
-200.0,30,634.191428
10.0,30,634.191433
110.0,30,634.369826
0.0,30,634.369875
0.0,30,634.369885
-100.0,30,634.369891
110.0,30,634.369898
110.0,30,634.369904
0.0,30,634.369909
0.0,30,634.369914
0.0,30,634.547909
10.0,30,634.547962
0.0,30,634.547973
0.0,30,634.54798
110.0,30,634.547986
0.0,30,634.547991
0.0,30,634.547996
220.0,30,634.548001
0.0,30,634.730207
10.0,30,634.730255
0.0,30,634.730265
0.0,30,634.730272
0.0,30,634.730278
0.0,30,634.730283
10.0,30,634.730288
0.0,30,634.730293
0.0,30,634.895166
110.0,30,634.895223
0.0,30,634.895237
220.0,30,634.895244
0.0,30,634.895253
110.0,30,634.895262
110.0,30,634.895267
0.0,30,634.895272
0.0,30,635.057722
0.0,30,635.057777
-100.0,30,635.057789
0.0,30,635.057797
0.0,30,635.057802
0.0,30,635.057807
110.0,30,635.057812
0.0,30,635.057817
0.0,30,635.218038
0.0,30,635.218101
110.0,30,635.218114
0.0,30,635.218127
0.0,30,635.218134
0.0,30,635.218141
0.0,30,635.218147
110.0,30,635.218152
0.0,30,635.36501
-190.0,30,635.365058
0.0,30,635.365069
0.0,30,635.365076
0.0,30,635.365082
0.0,30,635.365088
110.0,30,635.365094
0.0,30,635.365099
110.0,30,635.512905
0.0,30,635.512955
0.0,30,635.512965
0.0,30,635.512971
10.0,30,635.512977
0.0,30,635.512983
-100.0,30,635.512988
0.0,30,635.512997
10.0,30,635.661556
120.0,30,635.661616
110.0,30,635.661626
110.0,30,635.661632
0.0,30,635.661638
0.0,30,635.661644
0.0,30,635.661653
10.0,30,635.661659
-100.0,30,635.809009
0.0,30,635.809063
0.0,30,635.809073
0.0,30,635.809079
-100.0,30,635.809085
-100.0,30,635.80909
110.0,30,635.809095
110.0,30,635.8091
-90.0,30,635.962237
10.0,30,635.9623
0.0,30,635.96231
20.0,30,635.962317
0.0,30,635.962326
110.0,30,635.962332
10.0,30,635.962337
0.0,30,635.962342
-200.0,30,636.114457
0.0,30,636.114518
-100.0,30,636.11453
0.0,30,636.114537
0.0,30,636.114543
110.0,30,636.114548
110.0,30,636.114554
-190.0,30,636.114559
10.0,30,636.266402
0.0,30,636.266459
0.0,30,636.266468
0.0,30,636.266475
0.0,30,636.266481
0.0,30,636.266487
0.0,30,636.266492
110.0,30,636.266497
10.0,30,636.411374
0.0,30,636.411425
0.0,30,636.411435
0.0,30,636.411441
110.0,30,636.411447
-100.0,30,636.411452
10.0,30,636.411457
0.0,30,636.411462
0.0,30,636.560606
110.0,30,636.560661
110.0,30,636.560674
0.0,30,636.560681
0.0,30,636.560687
0.0,30,636.560692
0.0,30,636.560697
110.0,30,636.560702
0.0,30,636.723548
110.0,30,636.723593
0.0,30,636.723609
0.0,30,636.723616
0.0,30,636.723622
0.0,30,636.723628
0.0,30,636.723634
110.0,30,636.723639
0.0,30,636.895296
0.0,30,636.895351
0.0,30,636.895361
